,country,region_id,region,Year,happiness_rank,happiness_score,economy_GDP_per_capita,family,health_life_expectancy,freedom,trust_government_corruption,generosity,dystopia_residual,happiness_category,Component 1,Component 2,Component 3,Segment K-means PCA,Segment
286,Bulgaria,CEE,Central and Eastern Europe,2016,129,4.217,1.11306,0.92542,0.67806,0.21219,0.00615,0.12793,1.15377,middle-low,1.26235382,-1.54454835,-0.283392443,2,medium
287,Mauritania,SSA,Sub-Saharan Africa,2016,130,4.201,0.61391,0.84142,0.28639,0.1268,0.17955,0.22686,1.9263,middle-low,2.326039383,0.306116399,0.012337347,1,low
288,Zimbabwe,SSA,Sub-Saharan Africa,2016,131,4.193,0.35041,0.71478,0.1595,0.25429,0.08582,0.18503,2.4427,middle-low,2.948844215,0.247765554,0.135182114,1,low
289,Malawi,SSA,Sub-Saharan Africa,2016,132,4.156,0.08709,0.147,0.29364,0.4143,0.07564,0.30968,2.82859,middle-low,3.261237413,1.719673698,0.249187867,1,low
290,Sudan,SSA,Sub-Saharan Africa,2016,133,4.139,0.63069,0.81928,0.29759,0,0.10039,0.18077,2.10995,middle-low,2.85028035,-0.610561714,-0.249145176,1,low
291,Gabon,SSA,Sub-Saharan Africa,2016,134,4.121,1.15851,0.72368,0.3494,0.28098,0.09314,0.06244,1.45332,middle-low,1.761295695,-0.969899196,1.105773374,1,low
292,Mali,SSA,Sub-Saharan Africa,2016,135,4.073,0.31292,0.86333,0.16347,0.27544,0.13647,0.21064,2.11087,middle-low,2.670862262,0.587558694,0.031161087,1,low
293,Haiti,LAC,Latin America and Caribbean,2016,136,4.028,0.34097,0.29561,0.27494,0.12072,0.14476,0.47958,2.37116,middle-low,3.339045193,2.196569783,-0.858556025,1,low
294,Botswana,SSA,Sub-Saharan Africa,2016,137,3.974,1.09426,0.89186,0.34752,0.44089,0.10769,0.12425,0.96741,low,1.268697793,-0.263167522,0.799064894,1,low
295,Comoros,SSA,Sub-Saharan Africa,2016,138,3.956,0.27509,0.60323,0.29981,0.15412,0.18437,0.1827,2.25632,low,2.982933645,0.449007257,0.505856573,1,low
296,Ivory Coast,SSA,Sub-Saharan Africa,2016,139,3.916,0.55507,0.57576,0.04476,0.40663,0.1553,0.20338,1.97478,low,2.70861982,1.118952711,0.952624637,1,low
297,Cambodia,SEA,Southeast Asia,2016,140,3.907,0.55604,0.5375,0.42494,0.58852,0.08092,0.40339,1.31573,low,1.732910304,2.070700202,-0.417856874,1,low
298,Angola,SSA,Sub-Saharan Africa,2016,141,3.866,0.84731,0.66366,0.04991,0.00589,0.08434,0.12071,2.09459,low,3.44707802,-0.793981403,0.507531065,1,low
299,Niger,SSA,Sub-Saharan Africa,2016,142,3.856,0.1327,0.6053,0.26162,0.38041,0.17176,0.2097,2.09469,low,2.745339696,1.159453574,0.584124771,1,low
300,South Sudan,SSA,Sub-Saharan Africa,2016,143,3.832,0.39394,0.18519,0.15781,0.19662,0.13015,0.25899,2.50929,low,3.679734925,1.132607786,0.653045939,1,low
301,Chad,SSA,Sub-Saharan Africa,2016,144,3.763,0.42214,0.63178,0.03824,0.12807,0.04952,0.18667,2.30637,low,3.768179311,-0.041804863,0.026142944,1,low
302,Burkina Faso,SSA,Sub-Saharan Africa,2016,145,3.739,0.31995,0.63054,0.21297,0.3337,0.12533,0.24353,1.87319,low,2.874531543,0.988491604,0.202171361,1,low
303,Uganda,SSA,Sub-Saharan Africa,2016,145,3.739,0.34719,0.90981,0.19625,0.43653,0.06442,0.27102,1.51416,low,2.454737274,0.908757637,-0.463113911,1,low
304,Yemen,MENA,Middle East and North Africa,2016,147,3.724,0.57939,0.47493,0.31048,0.2287,0.05892,0.09821,1.97295,low,3.087082766,-0.522526238,0.815800761,1,low
305,Madagascar,SSA,Sub-Saharan Africa,2016,148,3.695,0.27954,0.46115,0.37109,0.13684,0.07506,0.2204,2.15075,low,3.426693168,0.184155881,-0.061010291,1,low
306,Tanzania,SSA,Sub-Saharan Africa,2016,149,3.666,0.47155,0.77623,0.357,0.3176,0.05099,0.31472,1.37769,low,2.503726673,0.738391693,-0.787217513,1,low
307,Liberia,SSA,Sub-Saharan Africa,2016,150,3.622,0.10706,0.50353,0.23165,0.25748,0.04852,0.24063,2.23284,low,3.628334614,0.635255342,-0.167178346,1,low
308,Guinea,SSA,Sub-Saharan Africa,2016,151,3.607,0.22415,0.3109,0.18829,0.30953,0.1192,0.29914,2.15604,low,3.500678188,1.543180782,0.27481735,1,low
309,Rwanda,SSA,Sub-Saharan Africa,2016,152,3.515,0.32846,0.61586,0.31865,0.5432,0.50521,0.23552,0.96819,low,1.354767284,3.030403743,2.269163163,1,low
310,Benin,SSA,Sub-Saharan Africa,2016,153,3.484,0.39499,0.10419,0.21028,0.39747,0.06681,0.2018,2.10812,low,3.556246308,0.961835444,1.053843784,1,low
311,Afghanistan,SA,South Asia,2016,154,3.36,0.38227,0.11037,0.17344,0.1643,0.07112,0.31268,2.14558,low,4.158606134,1.171957458,0.150814023,1,low
312,Togo,SSA,Sub-Saharan Africa,2016,155,3.303,0.28123,0,0.24811,0.34678,0.11587,0.17517,2.1354,low,3.809431704,1.008889267,1.43538195,1,low
313,Syria,MENA,Middle East and North Africa,2016,156,3.069,0.74719,0.14866,0.62994,0.06912,0.17233,0.48397,0.81789,low,2.905010229,1.833846722,-0.629467517,1,low
314,Burundi,SSA,Sub-Saharan Africa,2016,157,2.905,0.06831,0.23442,0.15747,0.0432,0.09419,0.2029,2.10404,low,4.831889068,0.432286712,0.391717788,1,low
315,Norway,WE,Western Europe,2017,1,7.537000179,1.616463184,1.53352356,0.796666503,0.635422587,0.315963835,0.362012237,2.277026653,high,-3.509823463,1.352702621,-0.376405892,0,high
316,Denmark,WE,Western Europe,2017,2,7.521999836,1.482383013,1.551121593,0.792565525,0.626006722,0.400770068,0.355280489,2.313707352,high,-3.567655575,1.730191778,-0.042597743,0,high
317,Iceland,WE,Western Europe,2017,3,7.504000187,1.48063302,1.610574007,0.833552122,0.627162635,0.153526559,0.475540221,2.322715282,high,-3.137486975,1.26371211,-1.955814669,0,high
318,Switzerland,WE,Western Europe,2017,4,7.493999958,1.564979553,1.516911745,0.858131289,0.620070577,0.367007285,0.290549278,2.276716232,high,-3.595073329,1.09948174,0.190345393,0,high
319,Finland,WE,Western Europe,2017,5,7.468999863,1.443571925,1.540246725,0.80915767,0.617950857,0.382611543,0.245482773,2.430181503,high,-3.410450217,0.980831516,0.450272443,0,high
320,Netherlands,WE,Western Europe,2017,6,7.376999855,1.503944635,1.428939223,0.810696125,0.585384488,0.282661825,0.47048983,2.294804096,high,-3.075640966,1.865414497,-1.09701571,0,high
321,Canada,NAANZ,North America and ANZ,2017,7,7.315999985,1.479204416,1.481348991,0.834557652,0.611100912,0.287371516,0.435539722,2.187264442,high,-3.184856385,1.686447753,-0.947877773,0,high
322,New Zealand,NAANZ,North America and ANZ,2017,8,7.31400013,1.405706048,1.548195124,0.816759706,0.61406213,0.382816702,0.500005126,2.046456337,high,-3.429294709,2.516198236,-0.970879653,0,high
323,Sweden,WE,Western Europe,2017,9,7.28399992,1.494387269,1.478162169,0.830875158,0.612924099,0.384398729,0.385399252,2.097537994,high,-3.402045238,1.824655685,-0.206898996,0,high
324,Australia,NAANZ,North America and ANZ,2017,10,7.28399992,1.484414935,1.510041952,0.843886793,0.601607382,0.30118373,0.47769925,2.065210819,high,-3.258759798,1.950886016,-1.171381704,0,high
325,Israel,MENA,Middle East and North Africa,2017,11,7.212999821,1.375382423,1.376289964,0.838404,0.405988604,0.0852421,0.330082655,2.801757336,high,-1.893091765,-0.190599682,-1.49527454,2,medium
326,Costa Rica,LAC,Latin America and Caribbean,2017,12,7.078999996,1.109706283,1.416403651,0.759509265,0.58013165,0.100106589,0.214613229,2.898639202,high,-1.846044452,-0.260181255,-0.668930277,2,medium
327,Austria,WE,Western Europe,2017,13,7.006000042,1.487097263,1.459944963,0.815328419,0.56776619,0.221060365,0.316472322,2.138506413,high,-2.67693302,0.608258839,-0.608312718,0,high
328,United States,NAANZ,North America and ANZ,2017,14,6.993000031,1.546259284,1.419920564,0.774286628,0.505740523,0.135638788,0.392578781,2.218113422,middle-high,-2.284894269,0.582529059,-1.396090399,0,high
329,Ireland,WE,Western Europe,2017,15,6.977000237,1.535706639,1.558231115,0.809782624,0.573110342,0.298388153,0.427858323,1.773869038,middle-high,-3.074987056,1.55200819,-0.965234407,0,high
330,Germany,WE,Western Europe,2017,16,6.951000214,1.487923384,1.472520351,0.798950732,0.562511384,0.276731938,0.33626917,2.015769958,middle-high,-2.774474712,0.973649332,-0.470737962,0,high
331,Belgium,WE,Western Europe,2017,17,6.890999794,1.463780761,1.462312698,0.818091869,0.539770722,0.251343131,0.231503338,2.124210358,middle-high,-2.585240248,0.179755057,-0.055510695,0,high
332,Luxembourg,WE,Western Europe,2017,18,6.862999916,1.741943598,1.457583666,0.845089495,0.596627891,0.318834424,0.283180982,1.619512081,middle-high,-3.225184046,0.765811547,0.171847826,0,high
333,United Kingdom,WE,Western Europe,2017,19,6.714000225,1.44163394,1.49646008,0.805335939,0.508190036,0.265428066,0.492774159,1.704143524,middle-high,-2.578101446,1.749813709,-1.505113266,0,high
334,Chile,LAC,Latin America and Caribbean,2017,20,6.65199995,1.25278461,1.284024954,0.819479704,0.376895279,0.082287982,0.326662421,2.509585857,middle-high,-1.299558248,-0.136064817,-1.420155354,2,medium
335,United Arab Emirates,MENA,Middle East and North Africa,2017,21,6.647999763,1.626343369,1.266410232,0.726798236,0.60834527,0.324489564,0.360941947,1.734703541,middle-high,-2.640376212,1.591198794,0.099743967,0,high
336,Brazil,LAC,Latin America and Caribbean,2017,22,6.635000229,1.10735321,1.431306005,0.616552353,0.437453747,0.111092761,0.162349895,2.769267082,middle-high,-1.077436369,-0.712030671,-0.447913309,2,medium
337,Czech Republic,CEE,Central and Eastern Europe,2017,23,6.609000206,1.352682352,1.433885217,0.754444003,0.490946174,0.036872927,0.088106759,2.451861858,middle-high,-1.480632133,-1.622650754,-0.29310758,2,medium
338,Argentina,LAC,Latin America and Caribbean,2017,24,6.598999977,1.185295463,1.440451145,0.695137084,0.494519204,0.059739888,0.109457061,2.614005327,middle-high,-1.276691119,-1.252012607,-0.344196662,2,medium
339,Mexico,LAC,Latin America and Caribbean,2017,25,6.578000069,1.153183818,1.21086216,0.709978998,0.412730008,0.132774115,0.120990433,2.837154865,middle-high,-0.993295235,-0.866953697,0.12249496,2,medium
340,Singapore,SEA,Southeast Asia,2017,26,6.572000027,1.69227767,1.353814363,0.949492395,0.549840569,0.464307785,0.345965981,1.216362,middle-high,-3.404152248,1.70511985,0.506656057,0,high
341,Malta,WE,Western Europe,2017,27,6.52699995,1.343279839,1.488411665,0.821944237,0.588767052,0.153066069,0.574730575,1.556862831,middle-high,-2.352906029,1.956848085,-2.394817609,0,high
342,Uruguay,LAC,Latin America and Caribbean,2017,28,6.453999996,1.217559695,1.412227869,0.719216824,0.579392254,0.178061873,0.175096929,2.172409534,middle-high,-1.777317837,-0.149812339,0.011863537,2,medium
343,Guatemala,LAC,Latin America and Caribbean,2017,29,6.453999996,0.872001946,1.255585194,0.54023999,0.531310618,0.077223279,0.283488393,2.893891096,middle-high,-0.588262564,0.386159014,-0.927997728,2,medium
344,Panama,LAC,Latin America and Caribbean,2017,30,6.452000141,1.233748436,1.373192549,0.706156135,0.550026834,0.070983924,0.210556939,2.307199955,middle-high,-1.401687092,-0.451770105,-0.647514035,2,medium
345,France,WE,Western Europe,2017,31,6.441999912,1.430923462,1.387776852,0.844465852,0.470222116,0.172502428,0.129762307,2.005954742,middle-high,-1.91247026,-0.889874144,0.127728157,2,medium
346,Thailand,SEA,Southeast Asia,2017,32,6.423999786,1.127868772,1.425792456,0.647239029,0.580200732,0.031612735,0.57212311,2.039508343,middle-high,-1.360596786,1.685387689,-2.843978526,0,high
347,Taiwan Province of China,SA,South Asia,2017,33,6.421999931,1.433626533,1.384565353,0.793984234,0.361466587,0.063829236,0.258360475,2.126607418,middle-high,-1.342971593,-0.797560679,-1.192912838,2,medium
348,Spain,WE,Western Europe,2017,34,6.402999878,1.384397864,1.532090902,0.8889606,0.40878123,0.070914097,0.190133572,1.92775774,middle-high,-1.731131411,-1.240842465,-1.01684443,2,medium
349,Qatar,MENA,Middle East and North Africa,2017,35,6.375,1.870765686,1.27429688,0.710098088,0.604130983,0.439299256,0.33047387,1.14546442,middle-high,-3.014499015,1.812012813,0.912286773,0,high
350,Colombia,LAC,Latin America and Caribbean,2017,36,6.356999874,1.070622325,1.402182937,0.595027924,0.477487415,0.046668742,0.149014473,2.616068125,middle-high,-0.765736099,-0.931208415,-0.566530902,2,medium
351,Saudi Arabia,MENA,Middle East and North Africa,2017,37,6.343999863,1.530623555,1.286677599,0.59014833,0.449750572,0.273432255,0.147616014,2.065429688,middle-high,-1.593246264,-0.11362222,0.830173211,2,medium
352,Trinidad and Tobago,LAC,Latin America and Caribbean,2017,38,6.168000221,1.361355901,1.380228519,0.519983292,0.518630743,0.008964816,0.325296462,2.053247452,middle-high,-0.890720744,-0.000588954,-1.425503505,2,medium
353,Kuwait,MENA,Middle East and North Africa,2017,39,6.105000019,1.632952452,1.259698749,0.632105708,0.496337593,0.21515955,0.228289798,1.640425205,middle-high,-1.63379776,0.148524508,0.252854093,0,high
354,Slovakia,CEE,Central and Eastern Europe,2017,40,6.09800005,1.325393558,1.505059242,0.712732911,0.295817465,0.024210852,0.136544481,2.097776651,middle-high,-0.776548652,-1.809687296,-0.962181291,2,medium
355,Bahrain,MENA,Middle East and North Africa,2017,41,6.086999893,1.488412261,1.323110461,0.653133035,0.536746919,0.25704217,0.172668487,1.656149387,middle-high,-1.764855145,0.097079348,0.638357979,0,high
356,Malaysia,SEA,Southeast Asia,2017,42,6.084000111,1.29121542,1.284646034,0.618784428,0.402264982,0.065600708,0.41660893,2.004448891,middle-high,-0.769599167,0.561725904,-1.782476816,2,medium
357,Nicaragua,LAC,Latin America and Caribbean,2017,43,6.071000099,0.737299204,1.28721571,0.653095961,0.447551847,0.130687982,0.301674217,2.513930559,middle-high,-0.479384231,0.497879811,-1.064515985,2,medium
358,Ecuador,LAC,Latin America and Caribbean,2017,44,6.007999897,1.000820398,1.286168814,0.685636222,0.455198199,0.140134647,0.150112465,2.290352583,middle-high,-0.756372932,-0.512056413,-0.081384923,2,medium
359,El Salvador,LAC,Latin America and Caribbean,2017,45,6.002999783,0.909784496,1.182125092,0.596018553,0.43245253,0.08998096,0.078257985,2.714593887,middle-high,-0.1615216,-1.020979668,0.213848415,2,medium
360,Poland,CEE,Central and Eastern Europe,2017,46,5.97300005,1.291787863,1.44571197,0.699475348,0.520342112,0.059307806,0.158465967,1.797722816,middle-high,-1.202487681,-0.949660412,-0.515405233,2,medium
361,Uzbekistan,CIS,Commonwealth of Independent States,2017,47,5.971000195,0.786441088,1.54896915,0.498272628,0.658248663,0.246528223,0.415983647,1.816913605,middle-high,-1.328261506,2.107391923,-1.101228622,0,high
362,Italy,WE,Western Europe,2017,48,5.964000225,1.395066619,1.444923282,0.853144348,0.256450713,0.028028091,0.172789648,1.813312054,middle-high,-0.914981252,-1.777760735,-1.167219045,2,medium
363,Russia,CIS,Commonwealth of Independent States,2017,49,5.962999821,1.281778097,1.469282389,0.547349334,0.373783112,0.032962881,0.052263822,2.205607414,middle-high,-0.484895755,-1.905471127,-0.205074517,2,medium
364,Belize,LAC,Latin America and Caribbean,2017,50,5.955999851,0.907975316,1.081417799,0.450191766,0.547509372,0.096581072,0.240015641,2.631955624,middle-high,-0.098222961,0.445806523,-0.232546119,2,medium
365,Japan,EA,East Asia,2017,51,5.920000076,1.416915178,1.436337829,0.913475871,0.505625546,0.163760737,0.120572768,1.363223553,middle-high,-1.907789469,-0.988382889,0.086107363,2,medium
366,Lithuania,CEE,Central and Eastern Europe,2017,52,5.90199995,1.314582348,1.473516107,0.62894994,0.234231785,0.011865643,0.010164657,2.228440523,middle-high,-0.258552634,-2.655512977,-0.314421203,2,medium
367,Algeria,MENA,Middle East and North Africa,2017,53,5.872000217,1.091864467,1.146217465,0.617584646,0.233335808,0.14609611,0.069436647,2.567603827,middle-high,0.02903895,-1.341201041,0.363117855,2,medium
368,Latvia,CEE,Central and Eastern Europe,2017,54,5.849999905,1.260748625,1.404714942,0.638566971,0.325707912,0.073842727,0.153074786,1.993655205,middle-high,-0.544208686,-1.24455629,-0.606125475,2,medium
369,South Korea,EA,East Asia,2017,55,5.837999821,1.401678443,1.128274441,0.900214076,0.257921666,0.063282669,0.206674367,1.880378008,middle-high,-0.686979393,-1.228263038,-0.753119992,2,medium
370,Moldova,CEE,Central and Eastern Europe,2017,56,5.837999821,0.72887063,1.251825571,0.589465201,0.240729049,0.010091286,0.208779126,2.807808399,middle-high,0.608846544,-0.971586336,-1.313273731,2,medium
371,Romania,CEE,Central and Eastern Europe,2017,57,5.824999809,1.217683911,1.15009129,0.685158312,0.457003742,0.004387901,0.133519918,2.176831484,middle-high,-0.391828028,-1.224258615,-0.316117425,2,medium
372,Bolivia,LAC,Latin America and Caribbean,2017,58,5.822999954,0.833756566,1.227619052,0.47363025,0.558732927,0.060477726,0.225560725,2.443279028,middle-high,-0.107845327,0.132697083,-0.559580388,2,medium
373,Turkmenistan,CIS,Commonwealth of Independent States,2017,59,5.822000027,1.130776763,1.493149161,0.43772608,0.418271929,0.25927034,0.249924988,1.832909822,middle-high,-0.848684471,0.564275432,-0.196721202,2,medium
374,Kazakhstan,CIS,Commonwealth of Independent States,2017,60,5.818999767,1.28455627,1.384369016,0.606041551,0.437454283,0.119282886,0.201964423,1.784892559,middle-high,-0.861096582,-0.464421358,-0.440547968,2,medium
375,North Cyprus,WE,Western Europe,2017,61,5.809999943,1.346911311,1.186303377,0.834647238,0.471203625,0.155353352,0.266845703,1.549157619,middle-high,-1.309517644,0.066775336,-0.415231844,2,medium
376,Slovenia,CEE,Central and Eastern Europe,2017,62,5.757999897,1.341205955,1.452518821,0.790828228,0.572575808,0.045128979,0.242649093,1.313317299,middle-high,-1.456629719,-0.499197474,-1.005357051,2,medium
377,Peru,LAC,Latin America and Caribbean,2017,63,5.715000153,1.035225272,1.218770385,0.630166113,0.450002879,0.047049087,0.126819715,2.20726943,middle-high,-0.222904208,-0.996243982,-0.232833577,2,medium
378,Mauritius,SSA,Sub-Saharan Africa,2017,64,5.629000187,1.189395547,1.20956099,0.638007462,0.491247326,0.042181555,0.360933751,1.697583914,middle-high,-0.530911641,0.41076345,-1.393307004,2,medium
379,Cyprus,WE,Western Europe,2017,65,5.620999813,1.355938077,1.131363273,0.844714701,0.355111539,0.041237976,0.271254301,1.621249199,middle-high,-0.638854118,-0.648865309,-1.049651412,2,medium
380,Estonia,CEE,Central and Eastern Europe,2017,66,5.611000061,1.32087934,1.4766711,0.695168316,0.47913143,0.183248922,0.098890811,1.357508659,middle-high,-1.292380938,-0.866893815,0.310519687,2,medium
381,Belarus,CIS,Commonwealth of Independent States,2017,67,5.568999767,1.15655756,1.444945216,0.637714267,0.295400262,0.156313822,0.155137509,1.723232985,middle-high,-0.498017222,-0.899739053,-0.372039385,2,medium
382,Libya,MENA,Middle East and North Africa,2017,68,5.525000095,1.101803064,1.35756433,0.52016902,0.46573323,0.09261021,0.152073666,1.835011244,middle-high,-0.327495392,-0.6314358,-0.227817551,2,medium
383,Turkey,MENA,Middle East and North Africa,2017,69,5.5,1.198274374,1.337753177,0.637605608,0.3007406,0.09967158,0.046693042,1.879277945,middle-high,-0.205960093,-1.739316643,0.140928617,2,medium
384,Paraguay,LAC,Latin America and Caribbean,2017,70,5.493000031,0.932537317,1.50728488,0.579250693,0.473507792,0.091065913,0.224150658,1.68533349,middle-low,-0.471701929,-0.265431381,-0.946964241,2,medium
385,Hong Kong,EA,East Asia,2017,71,5.472000122,1.551674843,1.262790918,0.943062425,0.490968645,0.293933749,0.374465793,0.554633141,middle-low,-2.103082162,1.137087778,-0.408304893,0,high
386,Philippines,SEA,Southeast Asia,2017,72,5.429999828,0.857699215,1.253917575,0.468009055,0.585214674,0.099331893,0.193513423,1.972604752,middle-low,-0.123270748,0.154907094,-0.175346701,2,medium
387,Serbia,CEE,Central and Eastern Europe,2017,73,5.394999981,1.069317579,1.258189797,0.650784671,0.208715528,0.040903781,0.220125884,1.947084427,middle-low,0.324386475,-1.052816849,-1.157017804,2,medium
388,Jordan,MENA,Middle East and North Africa,2017,74,5.335999966,0.991012394,1.239088893,0.604590058,0.418421149,0.119803272,0.17217046,1.791176558,middle-low,-0.116871365,-0.427507567,-0.206119705,2,medium
389,Hungary,CEE,Central and Eastern Europe,2017,75,5.323999882,1.286011934,1.343133092,0.687763453,0.175863519,0.036636937,0.078401662,1.716459274,middle-low,0.111933394,-2.197692984,-0.496534623,2,medium
390,Jamaica,LAC,Latin America and Caribbean,2017,76,5.31099987,0.925579309,1.368218064,0.641022384,0.474307239,0.055267781,0.233818337,1.612325668,middle-low,-0.251027068,-0.317089771,-1.000666306,2,medium
391,Croatia,CEE,Central and Eastern Europe,2017,77,5.293000221,1.222556233,0.967983007,0.701288521,0.255772293,0.04310311,0.248002976,1.854492426,middle-low,0.335427483,-0.68143672,-0.773590462,2,medium
392,Kosovo,CEE,Central and Eastern Europe,2017,78,5.278999805,0.951484382,1.137853503,0.54145205,0.260287941,0.057471618,0.319931448,2.010540724,middle-low,0.639337956,-0.016829989,-1.354875713,2,medium
393,China,EA,East Asia,2017,79,5.272999763,1.081165791,1.160837412,0.741415501,0.472787708,0.022794275,0.028806841,1.764938593,middle-low,-0.161591852,-1.72095331,0.27022655,2,medium
394,Pakistan,SA,South Asia,2017,80,5.269000053,0.726883531,0.67269069,0.402047783,0.235215262,0.124348067,0.315446019,2.79248929,middle-low,1.573734466,0.77239074,-0.394840175,1,low
395,Indonesia,SEA,Southeast Asia,2017,81,5.262000084,0.995538592,1.274444699,0.492345721,0.443323463,0.015317135,0.611704588,1.429476976,middle-low,0.092819979,1.882868656,-3.025989111,2,medium
396,Venezuela,LAC,Latin America and Caribbean,2017,82,5.25,1.128431201,1.431337595,0.617144227,0.153997123,0.064491123,0.06501963,1.789463758,middle-low,0.319588784,-2.122004089,-0.47465364,2,medium
397,Montenegro,CEE,Central and Eastern Europe,2017,83,5.236999989,1.121129036,1.238376498,0.667464674,0.194989055,0.088174194,0.197911024,1.729191542,middle-low,0.255541518,-1.027275309,-0.78924825,2,medium
398,Morocco,MENA,Middle East and North Africa,2017,84,5.235000134,0.878114581,0.774864435,0.597710669,0.408158332,0.087763183,0.032209955,2.456189394,middle-low,0.769331102,-1.043005078,1.021432558,2,medium
399,Azerbaijan,CIS,Commonwealth of Independent States,2017,85,5.234000206,1.153601766,1.152400255,0.540775776,0.398155838,0.180987507,0.04526934,1.762481689,middle-low,-0.069662678,-0.917927449,0.985136011,2,medium
400,Dominican Republic,LAC,Latin America and Caribbean,2017,86,5.230000019,1.079373837,1.402416706,0.574873745,0.552589834,0.113945253,0.18696785,1.31946516,middle-low,-0.595985098,-0.198922929,-0.295041038,2,medium
401,Greece,WE,Western Europe,2017,87,5.227000237,1.289487481,1.239414573,0.810198903,0.095731251,0.043289777,0,1.749221563,middle-low,0.245952621,-2.85522376,-0.077479693,2,medium
402,Lebanon,MENA,Middle East and North Africa,2017,88,5.224999905,1.074987531,1.129624248,0.735081077,0.288515985,0.03751383,0.264450759,1.695073843,middle-low,0.195404389,-0.609161254,-1.161787878,2,medium
403,Portugal,WE,Western Europe,2017,89,5.195000172,1.315175295,1.367043018,0.795843542,0.4984653,0.015869452,0.095102713,1.107682705,middle-low,-0.782043361,-1.605360866,-0.311652324,2,medium
404,Bosnia and Herzegovina,CEE,Central and Eastern Europe,2017,90,5.18200016,0.982409418,1.069335938,0.705186307,0.204403177,0,0.328867495,1.892172575,middle-low,0.694557078,-0.459724294,-1.740554819,2,medium
405,Honduras,LAC,Latin America and Caribbean,2017,91,5.181000233,0.730573118,1.143944979,0.58256948,0.34807986,0.073345453,0.236188874,2.065811157,middle-low,0.621783698,-0.189251042,-0.830848555,2,medium
406,Macedonia,CEE,Central and Eastern Europe,2017,92,5.175000191,1.064577937,1.207893014,0.644948184,0.325905979,0.060277794,0.253760964,1.617469311,middle-low,0.165851302,-0.455965242,-1.001220026,2,medium
407,Somalia,SSA,Sub-Saharan Africa,2017,93,5.151000023,0.022643184,0.721151352,0.113989137,0.602126956,0.282410324,0.291631311,3.11748457,middle-low,1.603242266,2.725186,0.796442831,1,low
408,Vietnam,SEA,Southeast Asia,2017,94,5.073999882,0.788547575,1.277491331,0.652168989,0.571055591,0.087633237,0.234968051,1.462318659,middle-low,-0.222068635,0.175155287,-0.648330334,2,medium
409,Nigeria,SSA,Sub-Saharan Africa,2017,95,5.073999882,0.783756256,1.215770483,0.05691573,0.394952565,0.026121566,0.230947196,2.365390539,middle-low,1.523386265,0.075477794,-0.685092449,1,low
410,Tajikistan,CIS,Commonwealth of Independent States,2017,96,5.040999889,0.524713635,1.271463275,0.529235125,0.471566707,0.146377146,0.248997644,1.84904933,middle-low,0.372657207,0.550031777,-0.622722076,2,medium
411,Bhutan,SA,South Asia,2017,97,5.011000156,0.885416389,1.340126514,0.495879292,0.501537681,0.17338039,0.474054545,1.140184402,middle-low,-0.237670954,1.902049569,-1.596424834,2,medium
412,Kyrgyzstan,CIS,Commonwealth of Independent States,2017,98,5.004000187,0.596220076,1.394238591,0.553457797,0.454943389,0.039439179,0.428580374,1.536723137,middle-low,0.354276044,0.9695353,-2.281305924,2,medium
413,Nepal,SA,South Asia,2017,99,4.961999893,0.479820192,1.179283261,0.504130781,0.440305948,0.072975546,0.394096166,1.891241074,middle-low,0.801919373,1.136907802,-1.667097769,1,low
414,Mongolia,EA,East Asia,2017,100,4.954999924,1.027235866,1.493011236,0.557783484,0.394143969,0.032902289,0.33846423,1.111292362,middle-low,0.003674709,-0.020494704,-1.855536492,2,medium
415,South Africa,SSA,Sub-Saharan Africa,2017,101,4.828999996,1.054698706,1.384788632,0.18708007,0.479246736,0.072509497,0.13936238,1.510908604,middle-low,0.642661007,-0.448395851,-0.047839428,2,medium
416,Tunisia,MENA,Middle East and North Africa,2017,102,4.804999828,1.007265806,0.86835146,0.613212049,0.28968069,0.086723149,0.049693357,1.89025116,middle-low,0.953384797,-1.340402659,0.682072726,2,medium
417,Palestinian Territories,MENA,Middle East and North Africa,2017,103,4.775000095,0.716249228,1.155647159,0.565666974,0.254711062,0.089282602,0.114173174,1.878890276,middle-low,1.060174234,-1.038257167,-0.220901032,2,medium
418,Egypt,MENA,Middle East and North Africa,2017,104,4.735000134,0.989701807,0.997471392,0.520187259,0.282110155,0.114381365,0.128631443,1.702161074,middle-low,0.936621474,-0.754118743,0.238271123,2,medium
419,Bulgaria,CEE,Central and Eastern Europe,2017,105,4.714000225,1.161459088,1.434379458,0.70821768,0.289231718,0.011051531,0.113177694,0.996139288,middle-low,0.154300172,-1.865752809,-0.821262006,2,medium
420,Sierra Leone,SSA,Sub-Saharan Africa,2017,106,4.709000111,0.368420929,0.984136045,0.005564754,0.318697691,0.071095176,0.293040901,2.668459892,middle-low,2.513907493,0.904915917,-0.729752844,1,low
421,Cameroon,SSA,Sub-Saharan Africa,2017,107,4.695000172,0.564305365,0.946018219,0.132892117,0.430388749,0.051306631,0.236298457,2.333645582,middle-low,1.946382408,0.5365773,-0.292408116,1,low
422,Iran,MENA,Middle East and North Africa,2017,108,4.691999912,1.156873107,0.711551249,0.639333189,0.249322608,0.048761073,0.387242913,1.498734951,middle-low,1.026483296,0.452333918,-1.112678266,1,low
423,Albania,CEE,Central and Eastern Europe,2017,109,4.644000053,0.996192753,0.803685248,0.731159747,0.381498635,0.039864216,0.201312944,1.490441561,middle-low,0.73459898,-0.487971792,-0.214664338,2,medium
